Post,Year,Region,Female,Male,Total Volunteers at Post,Agriculture,Business Development,Education,Environment,Health & HIV/AIDS,Youth,Other,African American,Asian American,Caucasian,Hispanic,Mixed Ethnicity,Native American,No Response,20s,30s,40s,50s,60s,70s,80s
Paraguay,2010,IAP,135,100,235,59,40,19,57,38,,22,9,6,166,26,7,,21,217,12,,3,1,2,
Paraguay,2011,IAP,158,99,257,56,49,33,61,45,,13,10,8,165,36,9,,29,235,15,1,4,2,,
Paraguay,2012,IAP,157,104,261,65,53,21,64,53,5,,8,6,171,39,8,1,28,237,16,2,4,2,,
Peru,2009,IAP,118,89,207,,36,,51,81,38,1,3,7,152,20,6,1,18,194,10,1,2,,,
Peru,2010,IAP,167,103,270,,40,,61,114,55,,4,6,200,33,5,1,21,255,10,1,3,1,,
Peru,2011,IAP,181,118,299,,38,,57,136,67,1,8,6,216,40,5,,24,277,18,1,1,2,,
Peru,2012,IAP,172,99,271,,30,,47,128,60,6,7,7,190,42,7,,18,249,15,3,2,2,,
Philippines,2009,EMA,87,61,148,,,65,43,,,40,4,7,114,4,4,,15,121,16,3,3,3,2,
Philippines,2010,EMA,156,103,259,,,133,65,,,61,7,16,189,13,8,,26,218,25,5,5,5,1,
Philippines,2011,EMA,144,94,238,,,126,42,,25,45,12,9,172,17,8,1,19,196,24,3,4,11,,
Philippines,2012,EMA,140,83,223,,,115,39,,62,7,10,9,164,14,8,1,17,182,14,5,10,8,4,
Romania,2009,EMA,63,46,109,,9,64,18,,,18,3,5,86,1,2,,12,84,9,1,7,6,2,
Romania,2010,EMA,58,31,89,,1,70,9,,,9,5,2,70,2,3,,7,67,6,3,5,7,1,
Romania,2011,EMA,46,32,78,,,75,1,,,2,5,1,59,2,3,,8,56,8,3,3,7,1,
Romania,2012,EMA,23,20,43,,,38,1,,,4,2,2,31,1,2,,5,28,4,3,1,6,1,
Rwanda,2009,AF,31,12,43,,2,8,3,30,,,3,1,27,7,2,,3,40,3,,,,,
Rwanda,2010,AF,68,22,90,,,30,,60,,,6,3,68,6,2,,5,85,4,,,1,,
Rwanda,2011,AF,107,54,161,,,116,,45,,,10,12,115,7,3,,14,148,9,2,,1,1,
Rwanda,2012,AF,107,54,161,,,120,,41,,,10,10,115,8,5,,13,149,8,,2,2,,
Samoa,2009,IAP,13,22,35,,,25,3,,,7,,4,27,,,,4,28,4,1,,2,,
Samoa,2010,IAP,18,12,30,,,26,,,,4,,3,23,3,,,1,26,4,,,,,
Samoa,2011,IAP,26,10,36,,,36,,,,,,2,29,5,,,,31,3,,1,1,,
Samoa,2012,IAP,12,7,19,,,19,,,,,,,18,1,,,,17,,,2,,,
Senegal,2009,AF,101,76,177,35,48,,68,26,,,1,8,138,3,7,1,19,172,5,,,,,
Senegal,2010,AF,120,85,205,32,52,,86,35,,,3,10,161,9,7,,15,199,2,2,2,,,
Senegal,2011,AF,160,94,254,38,38,,121,56,,1,6,8,195,10,10,,25,240,8,2,1,3,,
Senegal,2012,AF,182,90,272,48,36,,137,50,,1,12,10,202,13,5,,30,249,14,1,4,3,,1
Sierra Leone,2010,AF,21,16,37,,,37,,,,,2,2,26,4,2,,1,37,,,,,,
Sierra Leone,2011,AF,39,43,82,,,82,,,,,2,5,64,3,2,,6,77,5,,,,,
Sierra Leone,2012,AF,40,51,91,,,86,,,,5,1,4,69,3,3,,11,78,6,2,3,2,,
South Africa,2009,AF,83,40,123,,,70,,53,,,6,2,93,5,3,2,12,91,14,2,3,11,2,
South Africa,2010,AF,87,65,152,,,95,,51,,6,3,9,122,3,1,2,12,106,22,4,3,17,,
South Africa,2011,AF,113,70,183,,,109,3,68,,3,7,10,150,4,3,,9,129,20,4,7,22,1,
South Africa,2012,AF,120,52,172,,,104,3,62,,3,13,11,132,3,6,,7,123,12,5,10,20,2,
Suriname,2009,IAP,20,20,40,,19,,,21,,,2,2,27,1,,,8,32,2,1,1,4,,
Suriname,2010,IAP,26,20,46,,25,,,20,,1,2,2,33,2,,,7,32,3,1,4,6,,
Suriname,2011,IAP,31,18,49,,24,,,22,,3,4,3,36,2,,1,3,40,1,2,3,3,,
Suriname,2012,IAP,17,10,27,,11,,,9,,7,3,2,19,1,,,2,22,1,3,1,,,
Swaziland,2009,AF,42,22,64,,,,,63,,1,2,3,51,3,,,5,53,3,1,3,4,,
Swaziland,2010,AF,44,26,70,,,,,68,,2,3,1,57,2,1,,6,50,6,1,4,8,1,
Swaziland,2011,AF,47,25,72,,,16,,56,,,5,2,59,,2,,4,54,9,1,4,4,,
Swaziland,2012,AF,51,24,75,,,11,,42,22,,3,4,56,2,4,1,5,60,8,1,3,3,,
Tanzania,2009,AF,101,70,171,,,103,23,45,,,4,13,131,2,2,,19,145,8,5,2,10,1,
Tanzania,2010,AF,102,69,171,,,105,28,38,,,4,16,128,6,3,,14,142,15,4,3,7,,
Tanzania,2011,AF,84,64,148,,,106,18,23,,1,9,18,103,6,2,,10,115,16,3,5,8,,1
Tanzania,2012,AF,96,71,167,,,118,22,27,,,12,10,123,11,2,,9,133,13,3,7,10,,1
Thailand,2009,EMA,53,37,90,,,50,,,,40,2,6,67,6,,,9,73,5,2,4,5,1,
Thailand,2010,EMA,56,38,94,,,52,,,,42,5,11,67,2,1,,8,72,5,4,2,10,1,
Thailand,2011,EMA,62,44,106,,,58,,,,48,4,16,75,1,3,,7,71,13,8,4,10,,
Thailand,2012,EMA,67,36,103,,50,53,,,,,2,11,75,7,4,,4,74,12,4,4,9,,
Togo,2009,AF,77,46,123,,23,40,36,24,,,4,8,93,6,1,1,10,112,9,1,1,,,
Togo,2010,AF,73,44,117,,23,37,34,23,,,5,4,87,7,4,1,9,111,4,1,,1,,
Togo,2011,AF,78,40,118,,22,39,32,25,,,7,2,91,8,3,,7,114,2,1,,1,,
Togo,2012,AF,56,32,88,,10,23,34,21,,,5,1,68,6,3,,5,87,1,,,,,
Tonga,2009,IAP,25,15,40,,12,27,,,,1,3,1,29,,1,,6,27,9,,1,3,,
Tonga,2010,IAP,27,11,38,,10,28,,,,,1,1,30,,,,6,32,2,,2,2,,
Tonga,2011,IAP,27,16,43,,6,35,,,,2,,2,35,,,,6,35,2,,2,4,,
Tonga,2012,IAP,22,14,36,,,34,,,,2,2,2,29,,,,3,28,2,,1,5,,
Turkmenistan,2009,EMA,75,42,117,,,72,,45,,,3,11,88,4,5,,6,110,5,1,1,,,
Turkmenistan,2010,EMA,35,30,65,,,45,,20,,,2,6,46,4,1,,6,61,1,1,1,1,,
